run_name,model_name,num_layers,hidden_dim,dropout,learning_rate,batch_size,seq_length,window_size_k,best_epoch,last_train_loss,best_val_loss,last_val_ppl,test_loss,test_ppl,total_time_seconds,checkpoint_name
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K10,attention_lstm,2,256,0.2,0.001,64,100,10,1,4.61928803040714,5.864770467124025,352.4012591492984,5.823984680994438,338.31745849226104,3098.630818128586,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K10.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K10,attention_lstm,2,256,0.2,0.0005,64,100,10,1,4.738039556207787,5.869935309711288,354.2260645401763,5.834254058334477,341.8096688565449,14286.717741250992,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K10.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K10,attention_lstm,2,256,0.3,0.001,64,100,10,1,4.930256416111691,5.597936329056559,269.8689117484759,5.57334751566582,263.3140735408706,16612.526767253876,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K10.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K10,attention_lstm,2,256,0.3,0.0005,64,100,10,1,5.047752979176201,5.624398094045284,277.1054429005219,5.595735599107272,269.27565618908665,2924.8075790405273,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K10.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K20,attention_lstm,2,128,0.2,0.001,64,100,20,1,5.280098230561345,5.597303807468157,269.6982678094337,5.571532188051409,262.83650583398025,1457.8069198131561,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K20.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K20,attention_lstm,2,128,0.2,0.0005,64,100,20,1,5.417310030730746,5.62448950107093,277.13077344252497,5.602484929111048,271.0992334946863,1458.3848550319672,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K20.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001_K20,attention_lstm,2,128,0.3,0.001,64,100,20,1,5.487682493649033,5.565891407301303,261.35807639969727,5.544575513440168,255.84595202169604,1438.6502978801727,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001_K20.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K20,attention_lstm,2,128,0.3,0.0005,64,100,20,1,5.6285769166215465,5.606084067878014,272.0767152467107,5.582748020863701,265.80102986657005,1784.1470878124237,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K20.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K20,attention_lstm,2,256,0.2,0.001,64,100,20,1,4.653024589567374,5.821990161885977,337.6433503408397,5.782569420330041,324.59213349532564,2868.285048007965,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K20.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K20,attention_lstm,2,256,0.2,0.0005,64,100,20,1,4.772051613299146,5.826230387287518,339.0780738775737,5.789474318074844,326.84116471548225,2892.536066055298,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K20.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K20,attention_lstm,2,256,0.3,0.001,64,100,20,1,4.94699062863614,5.570981200729556,262.6917261410962,5.539382551206678,254.52079737221698,2948.8794388771057,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K20.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K20,attention_lstm,2,256,0.3,0.0005,64,100,20,1,5.068448533022637,5.595046016209253,269.09003231060757,5.5649221769744655,261.1048829470942,3240.37277507782,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K20.pt
