Final training run: final_rnn_h128_lr0p0005
================================================================================
Run: final_rnn_h128_lr0p0005
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_rnn_h128_lr0p0005.pt', model_name='rnn', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=1, dropout=0.0, window_size_k=5, learning_rate=0.0005, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_rnn_h128_lr0p0005_generation')
  Batch 4300/12186 | Avg Train Loss: 4.3253
  Batch 4400/12186 | Avg Train Loss: 4.3245
  Batch 4500/12186 | Avg Train Loss: 4.3239
  Batch 4600/12186 | Avg Train Loss: 4.3232
  Batch 4700/12186 | Avg Train Loss: 4.3227
  Batch 4800/12186 | Avg Train Loss: 4.3220
  Batch 4900/12186 | Avg Train Loss: 4.3215
  Batch 5000/12186 | Avg Train Loss: 4.3208
  Batch 5100/12186 | Avg Train Loss: 4.3203
  Batch 5200/12186 | Avg Train Loss: 4.3196
  Batch 5300/12186 | Avg Train Loss: 4.3190
  Batch 5400/12186 | Avg Train Loss: 4.3184
  Batch 5500/12186 | Avg Train Loss: 4.3179
  Batch 5600/12186 | Avg Train Loss: 4.3174
  Batch 5700/12186 | Avg Train Loss: 4.3168
  Batch 5800/12186 | Avg Train Loss: 4.3162
  Batch 5900/12186 | Avg Train Loss: 4.3156
  Batch 6000/12186 | Avg Train Loss: 4.3151
  Batch 6100/12186 | Avg Train Loss: 4.3146
  Batch 6200/12186 | Avg Train Loss: 4.3140
  Batch 6300/12186 | Avg Train Loss: 4.3134
  Batch 6400/12186 | Avg Train Loss: 4.3129
  Batch 6500/12186 | Avg Train Loss: 4.3123
  Batch 6600/12186 | Avg Train Loss: 4.3118
  Batch 6700/12186 | Avg Train Loss: 4.3111
  Batch 6800/12186 | Avg Train Loss: 4.3106
  Batch 6900/12186 | Avg Train Loss: 4.3100
  Batch 7000/12186 | Avg Train Loss: 4.3093
  Batch 7100/12186 | Avg Train Loss: 4.3088
  Batch 7200/12186 | Avg Train Loss: 4.3082
  Batch 7300/12186 | Avg Train Loss: 4.3076
  Batch 7400/12186 | Avg Train Loss: 4.3070
  Batch 7500/12186 | Avg Train Loss: 4.3064
  Batch 7600/12186 | Avg Train Loss: 4.3058
  Batch 7700/12186 | Avg Train Loss: 4.3052
  Batch 7800/12186 | Avg Train Loss: 4.3046
  Batch 7900/12186 | Avg Train Loss: 4.3041
  Batch 8000/12186 | Avg Train Loss: 4.3036
  Batch 8100/12186 | Avg Train Loss: 4.3030
  Batch 8200/12186 | Avg Train Loss: 4.3024
  Batch 8300/12186 | Avg Train Loss: 4.3019
  Batch 8400/12186 | Avg Train Loss: 4.3014
  Batch 8500/12186 | Avg Train Loss: 4.3009
  Batch 8600/12186 | Avg Train Loss: 4.3004
  Batch 8700/12186 | Avg Train Loss: 4.2999
  Batch 8800/12186 | Avg Train Loss: 4.2993
  Batch 8900/12186 | Avg Train Loss: 4.2987
