Final training run: final_lstm_l2_h256_d0p3_lr0p001
================================================================================
Run: final_lstm_l2_h256_d0p3_lr0p001
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_lstm_l2_h256_d0p3_lr0p001.pt', model_name='lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=256, num_layers=2, dropout=0.3, window_size_k=5, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_lstm_l2_h256_d0p3_lr0p001_generation')
  Batch 10900/12186 | Avg Train Loss: 4.8116
  Batch 11000/12186 | Avg Train Loss: 4.8115
  Batch 11100/12186 | Avg Train Loss: 4.8113
  Batch 11200/12186 | Avg Train Loss: 4.8111
  Batch 11300/12186 | Avg Train Loss: 4.8110
  Batch 11400/12186 | Avg Train Loss: 4.8108
  Batch 11500/12186 | Avg Train Loss: 4.8107
  Batch 11600/12186 | Avg Train Loss: 4.8105
  Batch 11700/12186 | Avg Train Loss: 4.8104
  Batch 11800/12186 | Avg Train Loss: 4.8103
  Batch 11900/12186 | Avg Train Loss: 4.8101
  Batch 12000/12186 | Avg Train Loss: 4.8099
  Batch 12100/12186 | Avg Train Loss: 4.8098
Epoch 3/4 | Train Loss: 4.8098 | Val Loss: 5.5048 | Val PPL: 245.86 | Time: 1843.9s
  Batch 100/12186 | Avg Train Loss: 4.7895
  Batch 200/12186 | Avg Train Loss: 4.7896
  Batch 300/12186 | Avg Train Loss: 4.7872
  Batch 400/12186 | Avg Train Loss: 4.7853
  Batch 500/12186 | Avg Train Loss: 4.7851
  Batch 600/12186 | Avg Train Loss: 4.7859
  Batch 700/12186 | Avg Train Loss: 4.7871
  Batch 800/12186 | Avg Train Loss: 4.7873
  Batch 900/12186 | Avg Train Loss: 4.7877
  Batch 1000/12186 | Avg Train Loss: 4.7879
  Batch 1100/12186 | Avg Train Loss: 4.7881
  Batch 1200/12186 | Avg Train Loss: 4.7884
  Batch 1300/12186 | Avg Train Loss: 4.7881
  Batch 1400/12186 | Avg Train Loss: 4.7879
  Batch 1500/12186 | Avg Train Loss: 4.7880
  Batch 1600/12186 | Avg Train Loss: 4.7877
  Batch 1700/12186 | Avg Train Loss: 4.7876
  Batch 1800/12186 | Avg Train Loss: 4.7874
  Batch 1900/12186 | Avg Train Loss: 4.7874
  Batch 2000/12186 | Avg Train Loss: 4.7872
  Batch 2100/12186 | Avg Train Loss: 4.7871
  Batch 2200/12186 | Avg Train Loss: 4.7874
  Batch 2300/12186 | Avg Train Loss: 4.7875
  Batch 2400/12186 | Avg Train Loss: 4.7877
  Batch 2500/12186 | Avg Train Loss: 4.7875
  Batch 2600/12186 | Avg Train Loss: 4.7875
  Batch 2700/12186 | Avg Train Loss: 4.7874
  Batch 2800/12186 | Avg Train Loss: 4.7874
  Batch 2900/12186 | Avg Train Loss: 4.7875
  Batch 3000/12186 | Avg Train Loss: 4.7873
  Batch 3100/12186 | Avg Train Loss: 4.7874
  Batch 3200/12186 | Avg Train Loss: 4.7877
  Batch 3300/12186 | Avg Train Loss: 4.7876
  Batch 3400/12186 | Avg Train Loss: 4.7875
  Batch 3500/12186 | Avg Train Loss: 4.7873
  Batch 3600/12186 | Avg Train Loss: 4.7873
  Batch 3700/12186 | Avg Train Loss: 4.7872
  Batch 3800/12186 | Avg Train Loss: 4.7872
  Batch 3900/12186 | Avg Train Loss: 4.7872
  Batch 4000/12186 | Avg Train Loss: 4.7872
  Batch 4100/12186 | Avg Train Loss: 4.7871
  Batch 4200/12186 | Avg Train Loss: 4.7871
  Batch 4300/12186 | Avg Train Loss: 4.7870
  Batch 4400/12186 | Avg Train Loss: 4.7867
  Batch 4500/12186 | Avg Train Loss: 4.7866
  Batch 4600/12186 | Avg Train Loss: 4.7867
  Batch 4700/12186 | Avg Train Loss: 4.7866
  Batch 4800/12186 | Avg Train Loss: 4.7867
  Batch 4900/12186 | Avg Train Loss: 4.7866
  Batch 5000/12186 | Avg Train Loss: 4.7865
  Batch 5100/12186 | Avg Train Loss: 4.7865
  Batch 5200/12186 | Avg Train Loss: 4.7865
  Batch 5300/12186 | Avg Train Loss: 4.7864
