Final training run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
================================================================================
Run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_attention_lstm_l2_h128_d0p3_lr0p001_k20.pt', model_name='attention_lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=2, dropout=0.3, window_size_k=20, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_attention_lstm_l2_h128_d0p3_lr0p001_k20_generation')
  Batch 6100/12186 | Avg Train Loss: 5.1838
  Batch 6200/12186 | Avg Train Loss: 5.1835
  Batch 6300/12186 | Avg Train Loss: 5.1834
  Batch 6400/12186 | Avg Train Loss: 5.1832
  Batch 6500/12186 | Avg Train Loss: 5.1831
  Batch 6600/12186 | Avg Train Loss: 5.1829
  Batch 6700/12186 | Avg Train Loss: 5.1827
  Batch 6800/12186 | Avg Train Loss: 5.1826
  Batch 6900/12186 | Avg Train Loss: 5.1825
  Batch 7000/12186 | Avg Train Loss: 5.1823
  Batch 7100/12186 | Avg Train Loss: 5.1822
  Batch 7200/12186 | Avg Train Loss: 5.1821
  Batch 7300/12186 | Avg Train Loss: 5.1820
  Batch 7400/12186 | Avg Train Loss: 5.1818
  Batch 7500/12186 | Avg Train Loss: 5.1816
  Batch 7600/12186 | Avg Train Loss: 5.1814
  Batch 7700/12186 | Avg Train Loss: 5.1812
  Batch 7800/12186 | Avg Train Loss: 5.1810
  Batch 7900/12186 | Avg Train Loss: 5.1809
  Batch 8000/12186 | Avg Train Loss: 5.1807
  Batch 8100/12186 | Avg Train Loss: 5.1805
  Batch 8200/12186 | Avg Train Loss: 5.1804
  Batch 8300/12186 | Avg Train Loss: 5.1802
  Batch 8400/12186 | Avg Train Loss: 5.1801
  Batch 8500/12186 | Avg Train Loss: 5.1799
  Batch 8600/12186 | Avg Train Loss: 5.1798
  Batch 8700/12186 | Avg Train Loss: 5.1797
  Batch 8800/12186 | Avg Train Loss: 5.1796
  Batch 8900/12186 | Avg Train Loss: 5.1795
  Batch 9000/12186 | Avg Train Loss: 5.1793
  Batch 9100/12186 | Avg Train Loss: 5.1792
  Batch 9200/12186 | Avg Train Loss: 5.1791
  Batch 9300/12186 | Avg Train Loss: 5.1790
  Batch 9400/12186 | Avg Train Loss: 5.1789
  Batch 9500/12186 | Avg Train Loss: 5.1787
  Batch 9600/12186 | Avg Train Loss: 5.1785
  Batch 9700/12186 | Avg Train Loss: 5.1784
  Batch 9800/12186 | Avg Train Loss: 5.1783
  Batch 9900/12186 | Avg Train Loss: 5.1780
  Batch 10000/12186 | Avg Train Loss: 5.1780
  Batch 10100/12186 | Avg Train Loss: 5.1779
  Batch 10200/12186 | Avg Train Loss: 5.1778
  Batch 10300/12186 | Avg Train Loss: 5.1776
  Batch 10400/12186 | Avg Train Loss: 5.1775
  Batch 10500/12186 | Avg Train Loss: 5.1773
  Batch 10600/12186 | Avg Train Loss: 5.1772
  Batch 10700/12186 | Avg Train Loss: 5.1770
  Batch 10800/12186 | Avg Train Loss: 5.1769
  Batch 10900/12186 | Avg Train Loss: 5.1768
  Batch 11000/12186 | Avg Train Loss: 5.1766
  Batch 11100/12186 | Avg Train Loss: 5.1765
  Batch 11200/12186 | Avg Train Loss: 5.1763
  Batch 11300/12186 | Avg Train Loss: 5.1762
  Batch 11400/12186 | Avg Train Loss: 5.1760
  Batch 11500/12186 | Avg Train Loss: 5.1759
  Batch 11600/12186 | Avg Train Loss: 5.1757
  Batch 11700/12186 | Avg Train Loss: 5.1756
  Batch 11800/12186 | Avg Train Loss: 5.1754
  Batch 11900/12186 | Avg Train Loss: 5.1753
  Batch 12000/12186 | Avg Train Loss: 5.1752
  Batch 12100/12186 | Avg Train Loss: 5.1750
Epoch 3/4 | Train Loss: 5.1749 | Val Loss: 5.5162 | Val PPL: 248.68 | Time: 1524.3s
Saved best checkpoint to checkpoints/final_models/final_attention_lstm_l2_h128_d0p3_lr0p001_k20.pt
  Batch 100/12186 | Avg Train Loss: 5.1525
  Batch 200/12186 | Avg Train Loss: 5.1512
  Batch 300/12186 | Avg Train Loss: 5.1530
  Batch 400/12186 | Avg Train Loss: 5.1533
  Batch 500/12186 | Avg Train Loss: 5.1541
  Batch 600/12186 | Avg Train Loss: 5.1536
  Batch 700/12186 | Avg Train Loss: 5.1535
  Batch 800/12186 | Avg Train Loss: 5.1532
  Batch 900/12186 | Avg Train Loss: 5.1538
  Batch 1000/12186 | Avg Train Loss: 5.1542
  Batch 1100/12186 | Avg Train Loss: 5.1543
  Batch 1200/12186 | Avg Train Loss: 5.1538
  Batch 1300/12186 | Avg Train Loss: 5.1536
  Batch 1400/12186 | Avg Train Loss: 5.1535
  Batch 1500/12186 | Avg Train Loss: 5.1534
  Batch 1600/12186 | Avg Train Loss: 5.1533
  Batch 1700/12186 | Avg Train Loss: 5.1533
  Batch 1800/12186 | Avg Train Loss: 5.1533
  Batch 1900/12186 | Avg Train Loss: 5.1536
  Batch 2000/12186 | Avg Train Loss: 5.1537
  Batch 2100/12186 | Avg Train Loss: 5.1534
  Batch 2200/12186 | Avg Train Loss: 5.1534
  Batch 2300/12186 | Avg Train Loss: 5.1532
  Batch 2400/12186 | Avg Train Loss: 5.1529
  Batch 2500/12186 | Avg Train Loss: 5.1528
  Batch 2600/12186 | Avg Train Loss: 5.1525
  Batch 2700/12186 | Avg Train Loss: 5.1526
  Batch 2800/12186 | Avg Train Loss: 5.1526
  Batch 2900/12186 | Avg Train Loss: 5.1526
  Batch 3000/12186 | Avg Train Loss: 5.1523
  Batch 3100/12186 | Avg Train Loss: 5.1523
  Batch 3200/12186 | Avg Train Loss: 5.1523
  Batch 3300/12186 | Avg Train Loss: 5.1522
  Batch 3400/12186 | Avg Train Loss: 5.1521
  Batch 3500/12186 | Avg Train Loss: 5.1517
  Batch 3600/12186 | Avg Train Loss: 5.1517
  Batch 3700/12186 | Avg Train Loss: 5.1517
  Batch 3800/12186 | Avg Train Loss: 5.1517
  Batch 3900/12186 | Avg Train Loss: 5.1516
  Batch 4000/12186 | Avg Train Loss: 5.1516
  Batch 4100/12186 | Avg Train Loss: 5.1516
  Batch 4200/12186 | Avg Train Loss: 5.1514
  Batch 4300/12186 | Avg Train Loss: 5.1513
  Batch 4400/12186 | Avg Train Loss: 5.1513
  Batch 4500/12186 | Avg Train Loss: 5.1512
  Batch 4600/12186 | Avg Train Loss: 5.1513
  Batch 4700/12186 | Avg Train Loss: 5.1511
  Batch 4800/12186 | Avg Train Loss: 5.1510
  Batch 4900/12186 | Avg Train Loss: 5.1509
  Batch 5000/12186 | Avg Train Loss: 5.1508
  Batch 5100/12186 | Avg Train Loss: 5.1506
  Batch 5200/12186 | Avg Train Loss: 5.1505
  Batch 5300/12186 | Avg Train Loss: 5.1503
  Batch 5400/12186 | Avg Train Loss: 5.1502
  Batch 5500/12186 | Avg Train Loss: 5.1502
  Batch 5600/12186 | Avg Train Loss: 5.1501
  Batch 5700/12186 | Avg Train Loss: 5.1498
  Batch 5800/12186 | Avg Train Loss: 5.1497
  Batch 5900/12186 | Avg Train Loss: 5.1496
  Batch 6000/12186 | Avg Train Loss: 5.1495
  Batch 6100/12186 | Avg Train Loss: 5.1495
  Batch 6200/12186 | Avg Train Loss: 5.1494
  Batch 6300/12186 | Avg Train Loss: 5.1494
  Batch 6400/12186 | Avg Train Loss: 5.1492
  Batch 6500/12186 | Avg Train Loss: 5.1492
  Batch 6600/12186 | Avg Train Loss: 5.1491
  Batch 6700/12186 | Avg Train Loss: 5.1491
  Batch 6800/12186 | Avg Train Loss: 5.1490
  Batch 6900/12186 | Avg Train Loss: 5.1489
  Batch 7000/12186 | Avg Train Loss: 5.1488
  Batch 7100/12186 | Avg Train Loss: 5.1486
  Batch 7200/12186 | Avg Train Loss: 5.1486
  Batch 7300/12186 | Avg Train Loss: 5.1485
  Batch 7400/12186 | Avg Train Loss: 5.1486
  Batch 7500/12186 | Avg Train Loss: 5.1485
  Batch 7600/12186 | Avg Train Loss: 5.1484
  Batch 7700/12186 | Avg Train Loss: 5.1484
  Batch 7800/12186 | Avg Train Loss: 5.1483
  Batch 7900/12186 | Avg Train Loss: 5.1482
  Batch 8000/12186 | Avg Train Loss: 5.1481
  Batch 8100/12186 | Avg Train Loss: 5.1480
  Batch 8200/12186 | Avg Train Loss: 5.1478
  Batch 8300/12186 | Avg Train Loss: 5.1478
  Batch 8400/12186 | Avg Train Loss: 5.1477
  Batch 8500/12186 | Avg Train Loss: 5.1477
  Batch 8600/12186 | Avg Train Loss: 5.1476
